"Figure 1: Average UK house price annual percentage change was 4.1% in the 12 months to March 2023",""
"Annual house price rates of change for all dwellings, UK, January 2006 to March 2023",""
"",""
"Notes","1. Not seasonally adjusted.
2. [HMLR's UK House Price Index (HPI) release on GOV.UK](https://www.gov.uk/government/collections/uk-house-price-index-reports) is available to download.
3. Volatility in 2021 and 2022 reflects house price movements around changes in Stamp Duty Land Tax in 2021."
"Unit","12-month percentage change"
"",""
"","12 month percentage change "
"2006 Jan","6.2"
"2006 Feb","6.5"
"2006 Mar","6.5"
"2006 Apr","7.3"
"2006 May","7.1"
"2006 Jun","7.3"
"2006 Jul","7.4"
"2006 Aug","7.9"
"2006 Sep","8.5"
"2006 Oct","9.4"
"2006 Nov","9.6"
"2006 Dec","10.4"
"2007 Jan","10.5"
"2007 Feb","10.6"
"2007 Mar","10.6"
"2007 Apr","10.4"
"2007 May","10.6"
"2007 Jun","10.8"
"2007 Jul","10.6"
"2007 Aug","10.3"
"2007 Sep","10.0"
"2007 Oct","9.1"
"2007 Nov","8.5"
"2007 Dec","7.0"
"2008 Jan","5.1"
"2008 Feb","3.9"
"2008 Mar","2.4"
"2008 Apr","0.5"
"2008 May","0.0"
"2008 Jun","-2.4"
"2008 Jul","-4.7"
"2008 Aug","-7.2"
"2008 Sep","-9.7"
"2008 Oct","-11.3"
"2008 Nov","-13.7"
"2008 Dec","-14.9"
"2009 Jan","-15.4"
"2009 Feb","-15.6"
"2009 Mar","-15.5"
"2009 Apr","-14.9"
"2009 May","-14.3"
"2009 Jun","-12.2"
"2009 Jul","-9.7"
"2009 Aug","-6.9"
"2009 Sep","-3.7"
"2009 Oct","-1.0"
"2009 Nov","2.2"
"2009 Dec","4.4"
"2010 Jan","6.5"
"2010 Feb","8.0"
"2010 Mar","8.7"
"2010 Apr","9.1"
"2010 May","8.1"
"2010 Jun","7.6"
"2010 Jul","6.8"
"2010 Aug","5.7"
"2010 Sep","4.6"
"2010 Oct","2.8"
"2010 Nov","1.2"
"2010 Dec","0.4"
"2011 Jan","-0.1"
"2011 Feb","-0.9"
"2011 Mar","-1.3"
"2011 Apr","-1.1"
"2011 May","-2.0"
"2011 Jun","-2.3"
"2011 Jul","-2.1"
"2011 Aug","-2.0"
"2011 Sep","-2.0"
"2011 Oct","-2.0"
"2011 Nov","-0.7"
"2011 Dec","-1.0"
"2012 Jan","-0.8"
"2012 Feb","-0.6"
"2012 Mar","0.2"
"2012 Apr","-0.2"
"2012 May","0.6"
"2012 Jun","1.4"
"2012 Jul","0.5"
"2012 Aug","0.5"
"2012 Sep","0.4"
"2012 Oct","0.8"
"2012 Nov","0.9"
"2012 Dec","1.1"
"2013 Jan","1.1"
"2013 Feb","1.3"
"2013 Mar","1.6"
"2013 Apr","1.5"
"2013 May","1.7"
"2013 Jun","1.5"
"2013 Jul","2.3"
"2013 Aug","3.0"
"2013 Sep","3.4"
"2013 Oct","3.7"
"2013 Nov","4.2"
"2013 Dec","5.4"
"2014 Jan","6.2"
"2014 Feb","6.7"
"2014 Mar","6.4"
"2014 Apr","7.7"
"2014 May","8.3"
"2014 Jun","8.4"
"2014 Jul","8.7"
"2014 Aug","9.1"
"2014 Sep","9.1"
"2014 Oct","9.4"
"2014 Nov","8.4"
"2014 Dec","7.7"
"2015 Jan","7.0"
"2015 Feb","6.7"
"2015 Mar","6.7"
"2015 Apr","5.3"
"2015 May","5.3"
"2015 Jun","5.2"
"2015 Jul","5.5"
"2015 Aug","5.2"
"2015 Sep","5.3"
"2015 Oct","5.6"
"2015 Nov","6.8"
"2015 Dec","6.9"
"2016 Jan","7.8"
"2016 Feb","7.7"
"2016 Mar","8.4"
"2016 Apr","7.9"
"2016 May","8.0"
"2016 Jun","8.2"
"2016 Jul","7.5"
"2016 Aug","6.5"
"2016 Sep","6.1"
"2016 Oct","5.6"
"2016 Nov","5.3"
"2016 Dec","5.2"
"2017 Jan","4.8"
"2017 Feb","4.9"
"2017 Mar","3.6"
"2017 Apr","4.9"
"2017 May","4.3"
"2017 Jun","4.2"
"2017 Jul","4.5"
"2017 Aug","4.9"
"2017 Sep","4.7"
"2017 Oct","5.1"
"2017 Nov","4.3"
"2017 Dec","4.6"
"2018 Jan","4.3"
"2018 Feb","4.4"
"2018 Mar","4.0"
"2018 Apr","3.3"
"2018 May","3.1"
"2018 Jun","2.9"
"2018 Jul","2.9"
"2018 Aug","2.7"
"2018 Sep","2.9"
"2018 Oct","2.7"
"2018 Nov","2.6"
"2018 Dec","2.0"
"2019 Jan","1.7"
"2019 Feb","1.2"
"2019 Mar","1.5"
"2019 Apr","1.3"
"2019 May","1.0"
"2019 Jun","0.7"
"2019 Jul","0.6"
"2019 Aug","0.6"
"2019 Sep","0.9"
"2019 Oct","0.7"
"2019 Nov","0.8"
"2019 Dec","0.9"
"2020 Jan","1.6"
"2020 Feb","1.3"
"2020 Mar","2.5"
"2020 Apr","0.7"
"2020 May","1.1"
"2020 Jun","2.0"
"2020 Jul","1.7"
"2020 Aug","2.4"
"2020 Sep","3.4"
"2020 Oct","4.6"
"2020 Nov","6.0"
"2020 Dec","7.0"
"2021 Jan","7.7"
"2021 Feb","8.2"
"2021 Mar","8.9"
"2021 Apr","8.6"
"2021 May","8.5"
"2021 Jun","13.2"
"2021 Jul","6.9"
"2021 Aug","9.0"
"2021 Sep","11.4"
"2021 Oct","8.1"
"2021 Nov","8.7"
"2021 Dec ","8.1"
"2022 Jan","9.2"
"2022 Feb","9.2"
"2022 Mar","8.0"
"2022 Apr","10.8"
"2022 May","11.8"
"2022 Jun","6.6"
"2022 Jul","14.3"
"2022 Aug","11.9"
"2022 Sep","8.7"
"2022 Oct","11.0"
"2022 Nov","9.4"
"2022 Dec","8.7"
"2023 Jan","5.9"
"2023 Feb","5.8"
"2023 Mar","4.1"
